@relation beta_full_set
@attribute r1 NUMERIC
@attribute r2 NUMERIC
@attribute r3 NUMERIC
@attribute r4 NUMERIC
@attribute r5 NUMERIC
@attribute r6 NUMERIC
@attribute r7 NUMERIC
@attribute r8 NUMERIC
@attribute class {beta}

%all features for BETA

@data
-0.99796243901519766, 0.063804155937036769, 0.8752602886758887, 0.08396166708257247, 0.8732995531626018, -0.99871458406392566, -0.050687075058835164, 1.146079871872631, beta
0.9367635995831336, 0.34996279587414769, 0.7277571093929622, 0.10595319301736426, 0.7277571093929622, 0.99439220951566332, 0.10575506443928431, 0.9317658146875794, beta
0.55653829889815587, -0.83082195557143723, 0.7839824503201587, 0.09770988175973665, 0.7822714387301891, -0.99740698863621846, -0.071967346898648032, 0.8673069063017411, beta
0.52940985916970462, -0.84836619511500677, 0.7573166715113302, 0.09837643301978373, 0.7541342724933007, 0.99936447326320799, 0.035646172015393732, 0.8680311274897478, beta
-0.79507395395154723, -0.60651249595358936, 0.8027171194293791, 0.09912112716967923, 0.8026693678177833, -0.99515072086484935, -0.098361795236619975, 1.0280038912301568, beta
-0.85134614397945052, 0.52460436819694967, 0.769156719459045, 0.10967990732011461, 0.7663238869994853, 0.99766562542309667, 0.068288358079114861, 1.0126774959942921, beta
-0.99999979974874165, 0.00063285265010492653, 0.8793679646865696, 0.093657440329084, 0.8761716861209338, -0.99924936387314056, -0.038738982938687605, 1.052227332048875, beta
0.99984150436467811, 0.017803543180428982, 0.8274826116904209, 0.09938859323510602, 0.8261463314461912, 0.99667452200461637, 0.08148556428515065, 1.0370489594999217, beta
0.072473278350628986, -0.99737035444468281, 0.8328566348201832, 0.08970349977245438, 0.830893131463367, -0.99833296074920319, -0.057717410559813206, 1.0428466056642083, beta
-0.99999932063693775, 0.0011656438834884663, 0.9095993177795374, 0.07248214932332353, 0.9085903370810191, -0.99848189329698311, -0.05508092916856256, 1.0359400697186547, beta
0.93529806310374475, -0.35386089520372749, 0.7986104872645989, 0.0991530739780861, 0.7956245093057404, 0.99882292551978136, 0.048505293073079478, 0.9599366322566504, beta
-0.98325691799127957, -0.18222467786304372, 0.8570610842011204, 0.2336844826273325, 0.8356217914559193, -0.997779149042193, -0.066609081487717714, 1.4619375982230651, beta
0.99914662413650934, -0.041304037049871289, 0.7479377526860107, 0.09510172759939588, 0.7447877988823395, 0.99969145724099628, 0.024839289832301086, 1.0522431037824254, beta
0.99792292415278028, 0.064419231991418011, 0.7402767373496212, 0.09618530097801922, 0.7375745563731168, 0.99902442896531707, 0.044160959347847688, 0.8993763731284703, beta
-0.99990053171828719, -0.014104136609041655, 0.7653078582145881, 0.05973175090951292, 0.7639434773365109, -0.99999937516776427, 0.0011178837510040203, 0.9814928330298828, beta
0.94634711098600932, -0.32315189234852654, 0.8271196135801642, 0.11226298715147505, 0.8238630440613295, 0.99763304826525956, 0.068762642539143715, 0.9170762663098866, beta
-0.94788805405212018, -0.31860357340319456, 0.7747249162302708, 0.07359186047707311, 0.773733813587076, -0.99857080876180226, -0.053444736773606519, 0.9762159087859447, beta
0.75493973689934257, 0.65579417018631037, 0.7282193759087985, 0.05888992340849281, 0.7273335456652608, 0.99948229300366398, 0.032173684466314717, 0.8821282722290994, beta
-0.91747071214143283, -0.3978033337752363, 0.6951919567155534, 0.05530644845224783, 0.6944769808748164, -0.99949893101657883, -0.031652596997973632, 0.8482386513383816, beta
0.80726382366762173, -0.5901907479768983, 0.7121286910137803, 0.08599774058002813, 0.7099149299352706, 0.99941129575157872, 0.034308336073761325, 0.9376011190343396, beta
-0.95660032692212971, -0.29140318209050986, 0.8198174526350362, 0.07582242028494819, 0.8174643785682653, -0.99999709030958706, 0.0024123375301732769, 1.0090602183897828, beta
